variable_name	description
URXUIO_UIO_D	Iodine, urine (ng/mL);2005-2006
URXUCR_UIO_D	Creatinine, urine (mg/dL);2005-2006
URXUIO_L06UIO_C	Iodine, urine (ng/mL);2003-2004
URXUCR_L06UIO_C	Creatinine, urine (mg/dL);2003-2004
URXUIO_L06UIO_B	Iodine, urine (ng/mL);2001-2002
URXUCR_L06UIO_B	Creatinine, urine (mg/dL);2001-2002
URXUIO_UIO_F	Iodine, urine (ug/L);2009-2010
URXUCR_UIO_F	Creatinine, urine (mg/dL);2009-2010
URXUIO_UIO_G	Iodine, urine (ug/L);2011-2012
URXUCR_UIO_G	Creatinine, urine (mg/dL);2011-2012
URXUIO_UIO_H	Iodine, urine (ug/L);2013-2014
URXUCR_UIO_H	Creatinine, urine (mg/dL);2013-2014
URXUIO_UIO_I	Iodine, urine (ng/mL);2015-2016
URXUIO_UIO_J	Iodine, urine (ug/L);2017-2018
LBXIRN_FETIB_J	Iron frozen, Serum (ug/dL);2017-2018
LBXIRN_FETIB_D	Iron, Frozen Serum (ug/dL);2005-2006
LBXIRN_L40FE_C	Iron, frozen (ug/dL);2003-2004
LBXIRN_L40FE_B	Iron, frozen (ug/dL);2001-2002
LBXBPB_PBCD_I	Blood lead (ug/dL);2015-2016
LBDBPBSI_PBCD_I	Blood lead (umol/L);2015-2016
LBXBCD_PBCD_I	Blood cadmium (ug/L);2015-2016
LBXTHG_PBCD_I	Blood mercury, total (ug/L);2015-2016
LBXBSE_PBCD_I	Blood selenium(ug/L);2015-2016
LBDBSESI_PBCD_I	Blood selenium (umol/L);2015-2016
LBXBMN_PBCD_I	Blood manganese (ug/L);2015-2016
LBDBMNSI_PBCD_I	Blood manganese (umol/L);2015-2016
LBXBPB_PBCD_J	Blood lead (ug/dL);2017-2018
LBDBPBSI_PBCD_J	Blood lead (umol/L);2017-2018
LBXBCD_PBCD_J	Blood cadmium (ug/L);2017-2018
LBXTHG_PBCD_J	Blood mercury, total (ug/L);2017-2018
LBXBSE_PBCD_J	Blood selenium(ug/L);2017-2018
LBDBSESI_PBCD_J	Blood selenium (umol/L);2017-2018
LBXBMN_PBCD_J	Blood manganese (ug/L);2017-2018
LBDBMNSI_PBCD_J	Blood manganese (nmol/L);2017-2018
LBXBPB_PBCD_H	Blood lead (ug/dL);2013-2014
LBDBPBSI_PBCD_H	Blood lead (umol/L);2013-2014
LBXBCD_PBCD_H	Blood cadmium (ug/L);2013-2014
LBXTHG_PBCD_H	Blood mercury, total (ug/L);2013-2014
LBXBSE_PBCD_H	Blood selenium(ug/L);2013-2014
LBDBSESI_PBCD_H	Blood selenium (umol/L);2013-2014
LBXBMN_PBCD_H	Blood manganese (ug/L);2013-2014
LBDBMNSI_PBCD_H	Blood manganese (umol/L);2013-2014
LBXIHG_IHG_D	Mercury, inorganic (ug/L);2005-2006
LBDIHGSI_IHG_D	Mercury, inorganic (umol/L );2005-2006
LBXIHG_IHG_F	Mercury, inorganic (ug/L);2009-2010
LBDIHGSI_IHG_F	Mercury, inorganic (umol/L );2009-2010
LBXIHG_IHG_E	Mercury, inorganic (ug/L);2007-2008
LBDIHGSI_IHG_E	Mercury, inorganic (umol/L );2007-2008
LBXIHG_IHGEM_G	Inorganic mercury, blood (ug/L);2011-2012
LBDIHGSI_IHGEM_G	Mercury, inorganic (umol/L );2011-2012
LBXBGE_IHGEM_G	Mercury, ethyl (ug/L);2011-2012
URXUHG_UHG_E	Mercury, urine (ug/L);2007-2008
URXUCR_UHG_E	Creatinine, urine (mg/dL);2007-2008
URXUHG_UHG_D	Urinary Mercury;2005-2006
URXUCR_UHG_D	Creatinine, urine (mg/dL);2005-2006
URXUHG_L06UHG_C	Mercury, urine (ng/mL);2003-2004
URXUCR_L06UHG_C	Creatinine, urine (mg/dL);2003-2004
URXUHG_UHG_F	Mercury, urine (ug/L);2009-2010
URXUCR_UHG_F	Creatinine, urine (mg/dL);2009-2010
URXUHG_UHG_G	Mercury, urine (ug/L);2011-2012
URXUCR_UHG_G	Creatinine, urine (mg/dL);2011-2012
URXUHG_UHG_H	Mercury, urine (ug/L);2013-2014
URXUCR_UHG_H	Creatinine, urine (mg/dL);2013-2014
URXUHG_UHG_I	Urine Mercury (ng/mL);2015-2016
URXUHG_UHG_J	Urine Mercury (ug/L);2017-2018
LBXIHG_IHGEM_H	Inorganic mercury, blood (ug/L);2013-2014
LBDIHGSI_IHGEM_H	Mercury, inorganic (umol/L );2013-2014
LBXBGE_IHGEM_H	Mercury, ethyl (ug/L);2013-2014
LBXIHG_IHGEM_J	Inorganic mercury, blood (ug/L);2017-2018
LBDIHGSI_IHGEM_J	Mercury, inorganic (nmol/L);2017-2018
LBXBGE_IHGEM_J	Mercury, ethyl (ug/L);2017-2018
LBDBGMSI_IHGEM_J	Mercury, methyl (nmol/L);2017-2018
LBXIHG_IHGEM_I	Inorganic mercury, blood (ug/L);2015-2016
LBDIHGSI_IHGEM_I	Mercury, inorganic (umol/L);2015-2016
LBXBGE_IHGEM_I	Mercury, ethyl (ug/L);2015-2016
URXUCR_UHM_E	Creatinine, urine (mg/dL);2007-2008
URXUBA_UHM_E	Barium, urine (ug/L);2007-2008
URXUBE_UHM_E	Beryllium, urine (ug/L);2007-2008
URXUCO_UHM_E	Cobalt, urine (ug/L);2007-2008
URXUCS_UHM_E	Cesium, urine (ug/L);2007-2008
URXUMO_UHM_E	Molybdenum, urine (ug/L);2007-2008
URXUPB_UHM_E	Lead, urine (ug/L);2007-2008
URXUPT_UHM_E	Platinum, urine (ug/L);2007-2008
URXUSB_UHM_E	Antimony, urine (ug/L);2007-2008
URXUTL_UHM_E	Thallium, urine (ug/L);2007-2008
URXUTU_UHM_E	Tungsten, urine (ug/L);2007-2008
URXUUR_UHM_E	Uranium, urinary (ug/L);2007-2008
URXUCR_LAB06HM	Creatinine, urine (mg/dL);1999-2000
URXUBA_LAB06HM	Barium, urine (ng/mL);1999-2000
URXUBE_LAB06HM	Beryllium, urine (ng/mL);1999-2000
URDUCD_LAB06HM	Cadmium, urine (ng/mL);1999-2000
URXUCO_LAB06HM	Cobalt, urine (ng/mL);1999-2000
URXUCS_LAB06HM	Cesium, urine (ng/mL);1999-2000
URXUMO_LAB06HM	Molybdenum, urine (ng/mL);1999-2000
URXUPB_LAB06HM	Lead, urine (ng/mL);1999-2000
URXUPT_LAB06HM	Platinum, urine (ng/mL);1999-2000
URXUSB_LAB06HM	Antimony, urine (ng/mL);1999-2000
URXUTL_LAB06HM	Thallium, urine (ng/mL);1999-2000
URXUTU_LAB06HM	Tungsten, urine (ng/mL);1999-2000
URXUCR_UHM_D	Creatinine, urine (mg/dL);2005-2006
URXUBA_UHM_D	Barium, urine (ug/L);2005-2006
URXUBE_UHM_D	Beryllium, urine (ug/L);2005-2006
URXUCO_UHM_D	Cobalt, urine (ug/L);2005-2006
URXUCS_UHM_D	Cesium, urine (ug/L);2005-2006
URXUMO_UHM_D	Molybdenum, urine (ug/L);2005-2006
URXUPB_UHM_D	Lead, urine (ug/L);2005-2006
URXUPT_UHM_D	Platinum, urine (ug/L);2005-2006
URXUSB_UHM_D	Antimony, urine (ug/L);2005-2006
URXUTL_UHM_D	Thallium, urine (ug/L);2005-2006
URXUTU_UHM_D	Tungsten, urine (ug/L);2005-2006
URXUUR_UHM_D	Uranium, urinary (ug/L);2005-2006
URXUCR_L06HM_C	Creatinine, urine (mg/dL).;2003-2004
URXUBA_L06HM_C	Barium, urine (ng/mL).;2003-2004
URXUBE_L06HM_C	Beryllium, urine (ng/mL).;2003-2004
URXUCO_L06HM_C	Cobalt, urine (ng/mL).;2003-2004
URXUCS_L06HM_C	Cesium, urine (ng/mL).;2003-2004
URXUMO_L06HM_C	Molybdenum, urine (ng/mL).;2003-2004
URXUPB_L06HM_C	Lead, urine (ng/mL).;2003-2004
URXUPT_L06HM_C	Platinum, urine (ng/mL).;2003-2004
URXUSB_L06HM_C	Antimony, urine (ng/mL).;2003-2004
URXUTL_L06HM_C	Thallium, urine (ng/mL).;2003-2004
URXUTU_L06HM_C	Tungsten, urine (ng/mL).;2003-2004
URXUUR_L06HM_C	Uranium, urine (ng/mL).;2003-2004
URXUCR_L06HM_B	Creatinine, urine (mg/dL);2001-2002
URXUBA_L06HM_B	Barium, urine (ng/mL);2001-2002
URXUBE_L06HM_B	Beryllium, urine (ng/mL);2001-2002
URDUCD_L06HM_B	Cadmium, urine (ng/mL);2001-2002
URXUCO_L06HM_B	Cobalt, urine (ng/mL);2001-2002
URXUCS_L06HM_B	Cesium, urine (ng/mL);2001-2002
URXUMO_L06HM_B	Molybdenum, urine (ng/mL);2001-2002
URXUPB_L06HM_B	Lead, urine (ng/mL);2001-2002
URXUPT_L06HM_B	Platinum, urine (ng/mL);2001-2002
URXUSB_L06HM_B	Antimony, urine (ng/mL);2001-2002
URXUTL_L06HM_B	Thallium, urine (ng/mL);2001-2002
URXUTU_L06HM_B	Tungsten, urine (ng/mL);2001-2002
URXUUR_L06HM_B	Uranium, urine (ng/mL);2001-2002
URXUCR_UHM_F	Creatinine, urine (mg/dL);2009-2010
URXUBA_UHM_F	Barium, urine (ug/L);2009-2010
URXUCO_UHM_F	Cobalt, urine (ug/L);2009-2010
URXUCS_UHM_F	Cesium, urine (ug/L);2009-2010
URXUMO_UHM_F	Molybdenum, urine (ug/L);2009-2010
URXUPB_UHM_F	Lead, urine (ug/L);2009-2010
URXUPT_UHM_F	Platinum, urine (ug/L);2009-2010
URXUSB_UHM_F	Antimony, urine (ug/L);2009-2010
URXUTL_UHM_F	Thallium, urine (ug/L);2009-2010
URXUTU_UHM_F	Tungsten, urine (ug/L);2009-2010
URXUUR_UHM_F	Uranium, urinary (ug/L);2009-2010
URXUCR_UHM_G	Creatinine, urine (mg/dL);2011-2012
URXUBA_UHM_G	Barium, urine (ug/L);2011-2012
URXUCO_UHM_G	Cobalt, urine (ug/L);2011-2012
URXUCS_UHM_G	Cesium, urine (ug/L);2011-2012
URXUMO_UHM_G	Molybdenum, urine (ug/L);2011-2012
URXUMN_UHM_G	Manganese, urine (ug/L);2011-2012
URXUPB_UHM_G	Lead, urine (ug/L);2011-2012
URXUSB_UHM_G	Antimony, urine (ug/L);2011-2012
URXUSN_UHM_G	Tin, urine (ug/L);2011-2012
URXUSR_UHM_G	Strontium, urine (ug/L);2011-2012
URXUTL_UHM_G	Thallium, urine (ug/L);2011-2012
URXUTU_UHM_G	Tungsten, urine (ug/L);2011-2012
URXUUR_UHM_G	Uranium, urinary (ug/L);2011-2012
URXUCR_UM_H	Creatinine, urine (mg/dL);2013-2014
URXUBA_UM_H	Barium, urine (ug/L);2013-2014
URXUCO_UM_H	Cobalt, urine (ug/L);2013-2014
URXUCS_UM_H	Cesium, urine (ug/L);2013-2014
URXUMO_UM_H	Molybdenum, urine (ug/L);2013-2014
URXUMN_UM_H	Manganese, urine (ug/L);2013-2014
URXUPB_UM_H	Lead, urine (ug/L);2013-2014
URXUSB_UM_H	Antimony, urine (ug/L);2013-2014
URXUSN_UM_H	Tin, urine (ug/L);2013-2014
URXUSR_UM_H	Strontium, urine (ug/L);2013-2014
URXUTL_UM_H	Thallium, urine (ug/L);2013-2014
URXUTU_UM_H	Tungsten, urine (ug/L);2013-2014
URXUUR_UM_H	Uranium, urinary (ug/L);2013-2014
URXUBA_UM_I	Barium, urine (ug/L);2015-2016
URXUCO_UM_I	Cobalt, urine (ug/L);2015-2016
URXUCS_UM_I	Cesium, urine (ug/L);2015-2016
URXUMO_UM_I	Molybdenum, urine (ug/L);2015-2016
URXUMN_UM_I	Manganese, urine (ug/L);2015-2016
URXUPB_UM_I	Lead, urine (ug/L);2015-2016
URXUSB_UM_I	Antimony, urine (ug/L);2015-2016
URXUSN_UM_I	Tin, urine (ug/L);2015-2016
URXUSR_UM_I	Strontium, urine (ug/L);2015-2016
URXUTL_UM_I	Thallium, urine (ug/L);2015-2016
URXUTU_UM_I	Tungsten, urine (ug/L);2015-2016
URXUUR_UM_I	Uranium, urine (ug/L);2015-2016
URXUCR_UHMS_G	Creatinine, urine (mg/dL);2011-2012
URXUBA_UHMS_G	Barium, urine (ug/L);2011-2012
URXUCO_UHMS_G	Cobalt, urine (ug/L);2011-2012
URXUCS_UHMS_G	Cesium, urine (ug/L);2011-2012
URXUMO_UHMS_G	Molybdenum, urine (ug/L);2011-2012
URXUMN_UHMS_G	Manganese, urine (ug/L);2011-2012
URXUPB_UHMS_G	Lead, urine (ug/L);2011-2012
URXUSB_UHMS_G	Antimony, urine (ug/L);2011-2012
URXUSN_UHMS_G	Tin, urine (ug/L);2011-2012
URXUSR_UHMS_G	Strontium, urine (ug/L);2011-2012
URXUTL_UHMS_G	Thallium, urine (ug/L);2011-2012
URXUTU_UHMS_G	Tungsten, urine (ug/L);2011-2012
URXUUR_UHMS_G	Uranium, urinary (ug/L);2011-2012
URXUCR_UMS_H	Creatinine, urine (mg/dL);2013-2014
URXUBA_UMS_H	Barium, urine (ug/L);2013-2014
URXUCO_UMS_H	Cobalt, urine (ug/L);2013-2014
URXUCS_UMS_H	Cesium, urine (ug/L);2013-2014
URXUMO_UMS_H	Molybdenum, urine (ug/L);2013-2014
URXUMN_UMS_H	Manganese, urine (ug/L);2013-2014
URXUPB_UMS_H	Lead, urine (ug/L);2013-2014
URXUSB_UMS_H	Antimony, urine (ug/L);2013-2014
URXUSN_UMS_H	Tin, urine (ug/L);2013-2014
URXUSR_UMS_H	Strontium, urine (ug/L);2013-2014
URXUTL_UMS_H	Thallium, urine (ug/L);2013-2014
URXUTU_UMS_H	Tungsten, urine (ug/L);2013-2014
URXUUR_UMS_H	Uranium, urinary (ug/L);2013-2014
URXUBA_UMS_I	Barium, urine (ug/L);2015-2016
URXUCO_UMS_I	Cobalt, urine (ug/L);2015-2016
URXUCS_UMS_I	Cesium, urine (ug/L);2015-2016
URXUMO_UMS_I	Molybdenum, urine (ug/L);2015-2016
URXUMN_UMS_I	Manganese, urine (ug/L);2015-2016
URXUPB_UMS_I	Lead, urine (ug/L);2015-2016
URXUSB_UMS_I	Antimony, urine (ug/L);2015-2016
URXUSN_UMS_I	Tin, urine (ug/L);2015-2016
URXUSR_UMS_I	Strontium, urine (ug/L);2015-2016
URXUTL_UMS_I	Thallium, urine (ug/L);2015-2016
URXUTU_UMS_I	Tungsten, urine (ug/L);2015-2016
URXUUR_UMS_I	Uranium, urine (ug/L);2015-2016
SSMHHT_SSMHHT_I	Mono2ethyl5hydroxyhexyl terephth (ug/L);2015-2016
SSECPT_SSMHHT_I	Mono2ethyl5carboxypentyl terephth (ug/L);2015-2016
SSMONP_SSMHHT_I	Monooxoisononyl phthalate (ug/L);2015-2016
URXUNI_UNI_J	Nickel, Urine (ug/L);2017-2018
LBX044_L28NPB_C	PCB44 (ng/g);2003-2004
LBX049_L28NPB_C	PCB49 (ng/g);2003-2004
LBX052_L28NPB_C	PCB52 (ng/g);2003-2004
LBX087_L28NPB_C	PCB87 (ng/g);2003-2004
LBX099_L28NPB_C	PCB99 (ng/g);2003-2004
LBX101_L28NPB_C	PCB101 (ng/g);2003-2004
LBX110_L28NPB_C	PCB110 (ng/g);2003-2004
LBX128_L28NPB_C	PCB128 (ng/g);2003-2004
LBX138_L28NPB_C	PCB138 & 158 (ng/g);2003-2004
LBX146_L28NPB_C	PCB146 (ng/g);2003-2004
LBX149_L28NPB_C	PCB149 (ng/g);2003-2004
LBX151_L28NPB_C	PCB151 (ng/g);2003-2004
LBX153_L28NPB_C	PCB153 (ng/g);2003-2004
LBX170_L28NPB_C	PCB170 (ng/g);2003-2004
LBX172_L28NPB_C	PCB172 (ng/g);2003-2004
LBX177_L28NPB_C	PCB177 (ng/g);2003-2004
LBX178_L28NPB_C	PCB178 (ng/g);2003-2004
LBX180_L28NPB_C	PCB180 (ng/g);2003-2004
LBX183_L28NPB_C	PCB183 (ng/g);2003-2004
LBX187_L28NPB_C	PCB187 (ng/g);2003-2004
LBX194_L28NPB_C	PCB194 (ng/g);2003-2004
LBX195_L28NPB_C	PCB195 (ng/g);2003-2004
LBX196_L28NPB_C	PCB196 & 203 (ng/g);2003-2004
LBD199_L28NPB_C	PCB199 (ng/g);2003-2004
LBX206_L28NPB_C	PCB206 (ng/g);2003-2004
LBX209_L28NPB_C	PCB209 (ng/g);2003-2004
LBC028_PCBPOL_D	PCB 28 (ng/g);2005-2006
LBC044_PCBPOL_D	PCB 44 (ng/g);2005-2006
LBC049_PCBPOL_D	PCB 49 (ng/g);2005-2006
LBC052_PCBPOL_D	PCB 52 (ng/g);2005-2006
LBC066_PCBPOL_D	PCB 66 (ng/g);2005-2006
LBC074_PCBPOL_D	PCB 74 (ng/g);2005-2006
LBC087_PCBPOL_D	PCB 87 (ng/g);2005-2006
LBC099_PCBPOL_D	PCB 99 (ng/g);2005-2006
LBC101_PCBPOL_D	PCB 101 (ng/g);2005-2006
LBC105_PCBPOL_D	PCB 105 (ng/g);2005-2006
LBC110_PCBPOL_D	PCB 110 (ng/g);2005-2006
LBC114_PCBPOL_D	PCB 114 (ng/g);2005-2006
LBC118_PCBPOL_D	PCB 118 (ng/g);2005-2006
LBC123_PCBPOL_D	PCB 123 (ng/g);2005-2006
LBC128_PCBPOL_D	PCB 128 (ng/g);2005-2006
LBC138_PCBPOL_D	PCB 138 (ng/g);2005-2006
LBC146_PCBPOL_D	PCB 146 (ng/g);2005-2006
LBC149_PCBPOL_D	PCB 149 (ng/g);2005-2006
LBC151_PCBPOL_D	PCB 151 (ng/g);2005-2006
LBC153_PCBPOL_D	PCB 153 (ng/g);2005-2006
LBC156_PCBPOL_D	PCB 156 (ng/g);2005-2006
LBC157_PCBPOL_D	PCB 157 (ng/g);2005-2006
LBC167_PCBPOL_D	PCB 167 (ng/g);2005-2006
LBC170_PCBPOL_D	PCB 170 (ng/g);2005-2006
LBC172_PCBPOL_D	PCB 172 (ng/g);2005-2006
LBC177_PCBPOL_D	PCB 177 (ng/g);2005-2006
LBC178_PCBPOL_D	PCB 178 (ng/g);2005-2006
LBC180_PCBPOL_D	PCB 180 (ng/g);2005-2006
LBC183_PCBPOL_D	PCB 183 (ng/g);2005-2006
LBC187_PCBPOL_D	PCB 187 (ng/g);2005-2006
LBC189_PCBPOL_D	PCB 189 (ng/g);2005-2006
LBC194_PCBPOL_D	PCB 194 (ng/g);2005-2006
LBC195_PCBPOL_D	PCB 195 (ng/g);2005-2006
LBC196_PCBPOL_D	PCB 196 (ng/g);2005-2006
LBC199_PCBPOL_D	PCB 199 (ng/g);2005-2006
LBC206_PCBPOL_D	PCB 206 (ng/g);2005-2006
LBC209_PCBPOL_D	PCB 209 (ng/g);2005-2006
LBC028_PCBPOL_F	2,4,4’-Trichlorobiphenyl (pg/g);2009-2010
LBC066_PCBPOL_F	2,3’,4,4’-Tetrachlorobiphenyl (pg/g);2009-2010
LBC074_PCBPOL_F	2,4,4’,5-Tetrachlorobiphenyl (pg/g);2009-2010
LBC099_PCBPOL_F	2,2’,4,4’,5-Pentachlorobiphenyl (pg/g);2009-2010
LBC105_PCBPOL_F	2,3,3’,4,4’-Pentachlorobiphenyl (pg/g);2009-2010
LBC114_PCBPOL_F	2,3,4,4',5-Pentachlorobiphenyl (pg/g);2009-2010
LBC118_PCBPOL_F	2,3’,4,4’,5-Pentachlorobiphenyl (pg/g);2009-2010
LBC138_PCBPOL_F	2,2’,3,4,4’,5’- and 2,3,3’,4,4’,6-Hexachlorobiphenyl (pg/g);2009-2010
LBC146_PCBPOL_F	2,2’,3,4’,5,5’-Hexachlorobiphenyl (pg/g);2009-2010
LBC153_PCBPOL_F	2,2’,4,4’,5,5’-Hexachlorobiphenyl (pg/g);2009-2010
LBC156_PCBPOL_F	2,3,3’,4,4’,5-Hexachlorobiphenyl (pg/g);2009-2010
LBC157_PCBPOL_F	2,3,3’,4,4’,5’-Hexachlorobiphenyl (pg/g);2009-2010
LBC167_PCBPOL_F	2,3’,4,4’,5,5’-Hexachlorobiphenyl (pg/g);2009-2010
LBC170_PCBPOL_F	2,2’,3,3’,4,4’,5-Heptachlorobiphenyl (pg/g);2009-2010
LBC178_PCBPOL_F	2,2’,3,3’,5,5’,6-Heptachlorobiphenyl (pg/g);2009-2010
LBC180_PCBPOL_F	2,2’,3,4,4’,5,5’-Heptachlorobiphenyl (pg/g);2009-2010
LBC183_PCBPOL_F	2,2’,3,4,4’,5’,6-Heptachlorobiphenyl (pg/g);2009-2010
LBC187_PCBPOL_F	2,2’,3,4’,5,5’,6-Heptachlorobiphenyl (pg/g);2009-2010
LBC189_PCBPOL_F	2,3,3’,4,4’,5,5’-Heptachlorobiphenyl (pg/g);2009-2010
LBC194_PCBPOL_F	2,2’,3,3’,4,4’,5,5’-Octachlorobiphenyl (pg/g);2009-2010
LBC196_PCBPOL_F	2,2’,3,3’,4,4’,5’,6- and 2,2’,3,4,4’,5,5’,6-Octachlorobiphenyl (pg/g);2009-2010
LBC199_PCBPOL_F	2,2’,3,3’,4,5,6,6’-Octachlorobiphenyl (pg/g);2009-2010
LBC206_PCBPOL_F	2,2’,3,3’,4,4’,5,5’,6-Nonachlorobiphenyl (pg/g);2009-2010
LBC209_PCBPOL_F	Decachlorobiphenyl (pg/g);2009-2010
LBC028_PCBPOL_G	2,4,4'-Trichlorobiphenyl (pg/g);2011-2012
LBC066_PCBPOL_G	2,3',4,4'-Tetrachlorobiphenyl (pg/g);2011-2012
LBC074_PCBPOL_G	2,4,4',5-Tetrachlorobiphenyl (pg/g);2011-2012
LBC099_PCBPOL_G	2,2',4,4',5-Pentachlorobiphenyl (pg/g);2011-2012
LBC105_PCBPOL_G	2,3,3',4,4'-Pentachlorobiphenyl (pg/g);2011-2012
LBC114_PCBPOL_G	2,3,4,4',5-Pentachlorobiphenyl (pg/g);2011-2012
LBC118_PCBPOL_G	2,3',4,4',5-Pentachlorobiphenyl (pg/g);2011-2012
LBC138_PCBPOL_G	2,2',3,4,4',5'- and 2,3,3',4,4',6-Hexachlorobiphenyl (pg/g);2011-2012
LBC146_PCBPOL_G	2,2',3,4',5,5'-Hexachlorobiphenyl (pg/g);2011-2012
LBC153_PCBPOL_G	2,2',4,4',5,5'-Hexachlorobiphenyl (pg/g);2011-2012
LBC156_PCBPOL_G	2,3,3',4,4',5-Hexachlorobiphenyl (pg/g);2011-2012
LBC157_PCBPOL_G	2,3,3',4,4',5'-Hexachlorobiphenyl (pg/g);2011-2012
LBC167_PCBPOL_G	2,3',4,4',5,5'-Hexachlorobiphenyl (pg/g);2011-2012
LBC170_PCBPOL_G	2,2',3,3',4,4',5-Heptachlorobiphenyl (pg/g);2011-2012
LBC178_PCBPOL_G	2,2',3,3',5,5',6-Heptachlorobiphenyl (pg/g);2011-2012
LBC180_PCBPOL_G	2,2',3,4,4',5,5'-Heptachlorobiphenyl (pg/g);2011-2012
LBC183_PCBPOL_G	2,2',3,4,4',5',6-Heptachlorobiphenyl (pg/g);2011-2012
LBC187_PCBPOL_G	2,2',3,4',5,5',6-Heptachlorobiphenyl (pg/g);2011-2012
LBC189_PCBPOL_G	2,3,3',4,4',5,5'-Heptachlorobiphenyl (pg/g);2011-2012
LBC194_PCBPOL_G	2,2',3,3',4,4',5,5'-Octachlorobiphenyl (pg/g);2011-2012
LBC196_PCBPOL_G	2,2',3,3',4,4',5',6- and 2,2',3,4,4',5,5',6-Octachlorobiphenyl (pg/g);2011-2012
LBC199_PCBPOL_G	2,2',3,3',4,5,6,6'-Octachlorobiphenyl (pg/g);2011-2012
LBC206_PCBPOL_G	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (pg/g);2011-2012
LBC209_PCBPOL_G	Decachlorobiphenyl (pg/g);2011-2012
LBC028_PCBPOL_I	2,4,4'-Trichlorobiphenyl (pg/g);2015-2016
LBC066_PCBPOL_I	2,3',4,4'-Tetrachlorobiphenyl (pg/g);2015-2016
LBC074_PCBPOL_I	2,4,4',5-Tetrachlorobiphenyl (pg/g);2015-2016
LBC099_PCBPOL_I	2,2',4,4',5-Pentachlorobiphenyl (pg/g);2015-2016
LBC105_PCBPOL_I	2,3,3',4,4'-Pentachlorobiphenyl (pg/g);2015-2016
LBC114_PCBPOL_I	2,3,4,4',5-Pentachlorobiphenyl (pg/g);2015-2016
LBC118_PCBPOL_I	2,3',4,4',5-Pentachlorobiphenyl (pg/g);2015-2016
LBC138_PCBPOL_I	2,2',3,4,4',5'- and 2,3,3',4,4',6-Hexachlorobiphenyl (pg/g);2015-2016
LBC146_PCBPOL_I	2,2',3,4',5,5'-Hexachlorobiphenyl (pg/g);2015-2016
LBC153_PCBPOL_I	2,2',4,4',5,5'-Hexachlorobiphenyl (pg/g);2015-2016
LBC156_PCBPOL_I	2,3,3',4,4',5-Hexachlorobiphenyl (pg/g);2015-2016
LBC157_PCBPOL_I	2,3,3',4,4',5'-Hexachlorobiphenyl (pg/g);2015-2016
LBC167_PCBPOL_I	2,3',4,4',5,5'-Hexachlorobiphenyl (pg/g);2015-2016
LBC170_PCBPOL_I	2,2',3,3',4,4',5-Heptachlorobiphenyl (pg/g);2015-2016
LBC178_PCBPOL_I	2,2',3,3',5,5',6-Heptachlorobiphenyl (pg/g);2015-2016
LBC180_PCBPOL_I	2,2',3,4,4',5,5'-Heptachlorobiphenyl (pg/g);2015-2016
LBC183_PCBPOL_I	2,2',3,4,4',5',6-Heptachlorobiphenyl (pg/g);2015-2016
LBC187_PCBPOL_I	2,2',3,4',5,5',6-Heptachlorobiphenyl (pg/g);2015-2016
LBC189_PCBPOL_I	2,3,3',4,4',5,5'-Heptachlorobiphenyl (pg/g);2015-2016
LBC194_PCBPOL_I	2,2',3,3',4,4',5,5'-Octachlorobiphenyl (pg/g);2015-2016
LBC196_PCBPOL_I	2,2',3,3',4,4',5',6- and 2,2',3,4,4',5,5',6-Octachlorobiphenyl (pg/g);2015-2016
LBC199_PCBPOL_I	2,2',3,3',4,5,6,6'-Octachlorobiphenyl (pg/g);2015-2016
LBC206_PCBPOL_I	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (pg/g);2015-2016
LBC209_PCBPOL_I	Decachlorobiphenyl (pg/g);2015-2016
LBC028_PCBPOL_H	2,4,4'-Trichlorobiphenyl (pg/g);2013-2014
LBC066_PCBPOL_H	2,3',4,4'-Tetrachlorobiphenyl (pg/g);2013-2014
LBC074_PCBPOL_H	2,4,4',5-Tetrachlorobiphenyl (pg/g);2013-2014
LBC099_PCBPOL_H	2,2',4,4',5-Pentachlorobiphenyl (pg/g);2013-2014
LBC105_PCBPOL_H	2,3,3',4,4'-Pentachlorobiphenyl (pg/g);2013-2014
LBC114_PCBPOL_H	2,3,4,4',5-Pentachlorobiphenyl (pg/g);2013-2014
LBC118_PCBPOL_H	2,3',4,4',5-Pentachlorobiphenyl (pg/g);2013-2014
LBC138_PCBPOL_H	2,2',3,4,4',5'- and 2,3,3',4,4',6-Hexachlorobiphenyl (pg/g);2013-2014
LBC146_PCBPOL_H	2,2',3,4',5,5'-Hexachlorobiphenyl (pg/g);2013-2014
LBC153_PCBPOL_H	2,2',4,4',5,5'-Hexachlorobiphenyl (pg/g);2013-2014
LBC156_PCBPOL_H	2,3,3',4,4',5-Hexachlorobiphenyl (pg/g);2013-2014
LBC157_PCBPOL_H	2,3,3',4,4',5'-Hexachlorobiphenyl (pg/g);2013-2014
LBC167_PCBPOL_H	2,3',4,4',5,5'-Hexachlorobiphenyl (pg/g);2013-2014
LBC170_PCBPOL_H	2,2',3,3',4,4',5-Heptachlorobiphenyl (pg/g);2013-2014
LBC178_PCBPOL_H	2,2',3,3',5,5',6-Heptachlorobiphenyl (pg/g);2013-2014
LBC180_PCBPOL_H	2,2',3,4,4',5,5'-Heptachlorobiphenyl (pg/g);2013-2014
